"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Wizards in literature","general term","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Thomas, Jeffrey E., 1959- [person] ; Snyder, Franklin G. [person]","The law and Harry Potter","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","","English",""
"Wizards in literature","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","","person","author","Lutters, Frans, author [person] ; Mees, Philip, translator [person]","Who is Harry Potter?","","","","United States of America","Chatham, New York","Waldorf Publications","2016","","71 pages, 22 cm","823.92","","","English","Translated from the Dutch"
"Wizards in literature","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Hallett, Cynthia J., 1947- [person] ; Huey, Peggy J., 1951- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Wizards in literature","general term","018138732","Monograph","Language material ; Text","Online resource","GBB6K5931","9781429544672 ; 9781429544702 ; 9781440636615","","Stouffer, Tere","","person","","Stouffer, Tere [person]","The complete idiot's guide to the world of Harry Potter","World of Harry Potter","The complete idiot's guide","","United States of America","New York","Alpha","2008","","1 online resource, illustrations","823.914","ELD.DS.104624","Criticsm and interpretation ; Handbook or manual","English",""
"Wizards in literature","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Wizards in literature","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; ePub ebook ; PDF ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.92","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Wizards in literature--Handbooks, manuals, etc","general term","013279930","Monograph","Language material ; Text","Volume","GBA572170","9781571744401","","Beahm, George W.","","person","","Beahm, George W. [person] ; Kirk, Tim, 1947- [person] ; McDaniel, Birtton [person]","Fact, fiction, and folklore in Harry Potter's world : an unofficial guide","","","","England ; United States of America","Charlottesville, Virginia ; Enfield","Airlift ; Hampton Roads","2005","","xix, 256 pages, illustrations, 22 cm","823.914","YK.2007.a.21378","Handbook or manual","English",""
"Wizards in literature--Handbooks, manuals, etc","general term","018138732","Monograph","Language material ; Text","Online resource","GBB6K5931","9781429544672 ; 9781429544702 ; 9781440636615","","Stouffer, Tere","","person","","Stouffer, Tere [person]","The complete idiot's guide to the world of Harry Potter","World of Harry Potter","The complete idiot's guide","","United States of America","New York","Alpha","2008","","1 online resource, illustrations","823.914","ELD.DS.104624","Criticsm and interpretation ; Handbook or manual","English",""
"Wizards in literature--Juvenile literature","general term","011622566","Monograph","Language material ; Text","Volume","GBA3V3977","9780954359638","","Moore, P. D. (Philton D.)","","person","","Moore, P. D. (Philton D.) [person]","About Harry Potter (not for Muggles) : what every kid should know!","","","","England","Enfield","Lux-Verbi","2003","","166 pages, illustrations, 19 cm","823.914","YK.2005.a.2495","Children's literature","English",""
"Wizards","general term","010769705","Monograph","Language material ; Text","Volume","GBA370847","9781841811789","","Matthews, John","1948-","person","","Matthews, John, 1948- [person]","Wizards : the quest for the wizard from Merlin to Harry Potter","","","","England","Alresford","Godsfield","2003","","144 pages, illustrations (chiefly colour), facsimiles, portraits, 23 cm","133.430922","YK.2004.a.359","","English","bibliography: p. 140-141. - Includes index"
"Wizards","general term","011020152","Monograph","Language material ; Text","Volume","GBA1W1087","9781842224335","","Dedopulos, Tim","","person","","Dedopulos, Tim [person]","Wizards : a magical history tour from Merlin to Harry Potter","","","","England","London","Carlton","2001","","128 pages, illustrations (some colour), 28 cm","398.21","","","English",""
"Wizards","general term","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Zheng, Xumi, wen xue [person] ; Su, Nong, translator [person] ; Ma, Aixin, translator [person] ; 马爱新 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Rowling, J. K. [person] ; 苏农 [person] ; Luolin (Rowling, Joanne Kathleen), 1965- [person] ; 郑须弥, 文学 [person]","Ha li . bo te","Feng huang hui de mi ling ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Wizards","general term","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Wizards","general term","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971- [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","895.43","","Children's fiction ; Fiction","Tibetan",""
"Wizards--Drama","general term","017842481","Monograph","Language material ; Text","Volume","GBB664597","9780751565355","","Thorne, Jack","","person","author","Thorne, Jack, author [person] ; Rowling, J. K. [person] ; Tiffany, John [person]","Harry Potter and the cursed child. Parts I & II","","","","England","London","Little, Brown","2016","","1 volume","822.92","","Drama","English","Additional physical form: ebook version. 9781781106945"
"Wizards--Drama","general term","017898527","Monograph","Language material ; Text","Online resource (ebook)","GBB688218","9781781106945","","Thorne, Jack","","person","author","Thorne, Jack, author [person] ; Rowling, J. K. [person] ; Tiffany, John, 1971- [person]","Harry Potter and the cursed child. Parts I & II","","","","England","London","Pottermore from J.K. Rowling","2016","","1 online resource","822.92","","Drama","English","Additional physical form: Print version. 9780751565355"
"Wizards--Drama","general term","017968744","Monograph","Language material ; Text","Volume","GBB6B0013","9781510051317","","Thorne, Jack","","person","author","Rowling, J. K., creator [person] ; Thorne, Jack, author [person]","Harry Potter and the cursed child : parts I & II","","","","England","Rearsby, Leicester","Clipper Audio","2016","Dyslexic readers large print edition","565 pages (large print), 24 cm","822.92","LT.2016.x.2900","Drama","English","'LP3951' --spine ; 'Special rehearsal edition script' --cover ; Standard print edition originally published: London : Little Brown"
"Wizards--Drama","general term","017970081","Monograph","Language material ; Text","Online resource (ebook)","GBB6B1350","9781781107041","","Thorne, Jack","","person","author","Thorne, Jack, author [person] ; Rowling, J. K. [person] ; Tiffany, John, 1971- [person]","Harry Potter and the cursed child. Parts I & II","","","","England","London","Pottermore from J.K. Rowling","2016","","1 online resource","822.92","","Drama","English",""
"Wizards--Drama","general term","018330120","Monograph","Language material ; Text","Volume","GBB775094","9780751565362","","Thorne, Jack","","person","author","Thorne, Jack, author [person] ; Rowling, J. K. [person] ; Tiffany, John, 1971- [person]","Harry Potter and the cursed child : parts one and two","","","","England","London","Sphere","2017","Revised edition","1 volume, 20 cm","822.92","","Drama","English","Previous edition: 2016"
"Wizards--Drama","general term","018510176","Monograph","Language material ; Text","Online resource (ebook)","GBB7G6257","9781781105450","","Thorne, Jack","","person","author","Thorne, Jack, author [person] ; Rowling, J. K. [person] ; Tiffany, John, 1971- [person]","Harry Potter e la maledizione dell'erede : parte uno e due","","","","England","London","Pottermore from J.K. Rowling","2016","Edizione speciale scriptbook","1 online resource","822.92","","Drama","Italian","Translated from the English"
"Wizards--Fiction","general term","007716564","Monograph","Language material ; Text","Volume","GBA0Z2871","9780747546344","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2000","","320 pages, 20 cm","823.914","","","English","Originally published: 1999"
"Wizards--Fiction","general term","007716631","Monograph","Language material ; Text","Volume","GBA1X9101","9780747550792","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2001","","640 pages, 20 cm","823.914","","Fantasy ; Fiction","English","Originally published: 2000"
"Wizards--Fiction","general term","007717031","Monograph","Language material ; Text","Volume","GBA4X8990","9780747570738","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2004","","956 pages, 20 cm","823.914","H.2009/819","Fiction","English","Originally published: 2003"
"Wizards--Fiction","general term","012943215","Monograph","Language material ; Text","Volume","GBA448097","9780747574484","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2004","","366 pages, 18 cm","823.914","H.2005/1669","Fantasy ; Fiction","English","Originally published: 1998"
"Wizards--Fiction","general term","012971409","Monograph","Language material ; Text","Volume","GBA459319","9780747573609","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2004","Adult edition","224 pages, 20 cm","823.914","","Fantasy ; Fiction","English","Originally published: 1997"
"Wizards--Fiction","general term","012971410","Monograph","Language material ; Text","Volume","GBA459320","9780747573616","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2004","Adult edition","256 pages, 20 cm","823.914","","Fantasy ; Fiction","English","Originally published: 1998"
"Wizards--Fiction","general term","012971411","Monograph","Language material ; Text","Volume","GBA459321","9780747573630","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2004","Adult edition","640 pages, 20 cm","823.914","","Fantasy ; Fiction","English","Originally published: 2000"
"Wizards--Fiction","general term","013179923","Monograph","Language material ; Text","Volume","GBA533312","9780747581109","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2005","","607 pages","823.914","Nov.2006/8","Fantasy ; Fiction","English","Adult edition"
